"","title","year","length","budget","rating","votes","mpaa","genre"
"194402","Fitzcarraldo",1982,158,NA,7.7,2202,"","Drama"
"194406","Five",1951,93,NA,6.7,80,"","Drama"
"194407","Five Aces",1999,95,NA,4.4,172,"R","Drama"
"194409","Five Came Back",1939,75,NA,7.1,143,"","Drama"
"194412","Five Corners",1987,90,NA,6.3,743,"","Drama"
"194413","Five Days One Summer",1982,96,NA,5.8,215,"","Drama"
"194414","Five Days from Home",1979,108,NA,5.6,36,"","Drama"
"194418","Five Easy Pieces",1970,96,NA,7.4,3894,"","Drama"
"194420","Five Finger Exercise",1962,109,NA,5.8,16,"","Drama"
"194421","Five Gates to Hell",1959,98,NA,5.7,27,"","Drama"
"194422","Five Golden Dragons",1967,70,NA,5.1,15,"","Drama"
"194426","Five Heartbeats, The",1991,116,NA,6.3,368,"","Drama"
"194427","Five Lines",2001,110,NA,7.1,9,"","Drama"
"194429","Five Loose Women",1974,70,NA,2.8,27,"","Drama"
"194431","Five Minutes From the Station",1930,14,NA,6.9,16,"","Drama"
"194432","Five Minutes to Love",1963,85,NA,5.3,11,"","Drama"
"194433","Five Pennies, The",1959,112,NA,6.9,306,"","Drama"
"194435","Five Senses, The",1999,106,NA,6.9,1201,"R","Drama"
"194436","Five Star Final",1931,89,NA,7.3,163,"","Drama"
"194440","Five Years",2002,89,NA,7.6,16,"","Drama"
"194443","Five the Hard Way",1969,82,NA,1.4,285,"","Drama"
"194445","Fix, The",1984,95,NA,3.5,5,"","Drama"
"194446","Fixed Bayonets!",1951,92,NA,7.4,91,"","Drama"
"194447","Fixer Dugan",1939,68,NA,5.2,15,"","Drama"
"194449","Fixer, The",1968,132,NA,6.6,212,"","Drama"
"194450","Fixing Frank",2002,103,NA,7.4,12,"","Drama"
"194451","Fiza",2000,167,1000000,7.1,132,"","Drama"
"194452","Fjorton suger",2004,83,NA,5.4,83,"","Drama"
"194456","Flag: A Story Inspired by the Tradition of Betsy Ross, The",1927,20,NA,5.4,37,"","Drama"
"194457","Flaggermusvinger",1992,80,NA,4,11,"","Drama"
"194460","Flambierte Frau, Die",1983,104,NA,6.1,108,"","Drama"
"194464","Flame Within, The",1935,72,NA,3.8,15,"","Drama"
"194466","Flame and the Flesh, The",1954,104,NA,5.9,14,"","Drama"
"194467","Flame in the Streets",1961,93,NA,5.9,16,"","Drama"
"194472","Flame of the Islands",1956,90,NA,5.3,8,"","Drama"
"194473","Flame, The",1947,97,NA,5.3,7,"","Drama"
"194478","Flaming Creatures",1963,45,NA,5.3,70,"","Drama"
"194482","Flamingo",2003,28,NA,6.6,9,"","Drama"
"194483","Flamingo Kid, The",1984,100,NA,6.1,1039,"","Drama"
"194484","Flamingo Road",1949,94,NA,7,240,"","Drama"
"194487","Flammen im Paradies",1997,105,NA,5.7,22,"","Drama"
"194491","Flanagan Boy, The",1953,81,NA,5.4,7,"","Drama"
"194494","Flaqueza del bolchevique, La",2003,95,NA,6.8,151,"","Drama"
"194497","Flash",1986,90,NA,5.8,11,"","Drama"
"194501","Flash of Green, A",1984,131,NA,6.3,42,"","Drama"
"194504","Flashback",1990,108,NA,5.7,968,"","Drama"
"194505","Flashdance",1983,95,NA,5.5,4568,"","Drama"
"194511","Flat Out",1998,96,NA,2.1,9,"","Drama"
"194512","Flat Top",1952,83,NA,6.1,37,"","Drama"
"194516","Flats, The",2002,102,500000,7.2,19,"","Drama"
"194520","Flavia, la monaca musulmana",1974,101,NA,5.3,74,"","Drama"
"194522","Flawless",1999,112,27000000,6.1,3287,"R","Drama"
"194531","Flemish Farm, The",1943,82,NA,5.4,15,"","Drama"
"194533","Flesh",1932,96,NA,5.5,61,"","Drama"
"194534","Flesh",1968,105,4000,5.7,287,"","Drama"
"194535","Flesh & Blood",1950,102,NA,6.1,8,"","Drama"
"194536","Flesh & Blood",1985,117,6500000,6.3,2047,"","Drama"
"194543","Flesh Merchant, The",1956,90,NA,5.3,9,"","Drama"
"194546","Flesh and Bone",1993,116,NA,6.3,1175,"","Drama"
"194547","Flesh and Fantasy",1943,94,NA,7,95,"","Drama"
"194548","Flesh and Fury",1952,83,NA,6.5,29,"","Drama"
"194550","Flesh and the Devil",1926,113,373000,7.5,232,"","Drama"
"194553","Flesh for Frankenstein",1973,95,NA,5.1,678,"","Drama"
"194555","Fleshburn",1984,90,NA,4.1,21,"","Drama"
"194557","Fleshpot on 42nd Street",1973,80,NA,7.3,12,"","Drama"
"194561","Fleur bleue",1971,81,NA,6.1,12,"","Drama"
"194563","Fleur du mal, La",2003,101,NA,6.5,501,"R","Drama"
"194567","Fleurs magiques, Les",1995,21,NA,5.9,8,"","Drama"
"194568","Fleurs sauvages, Les",1982,152,NA,7.1,7,"","Drama"
"194572","Flicka",2002,11,NA,7,13,"","Drama"
"194573","Flicka och hyacinter",1950,89,NA,7.6,80,"","Drama"
"194576","Flickorna",1968,100,NA,6,20,"","Drama"
"194579","Fliegende Klassenzimmer, Das",1954,92,NA,7,39,"","Drama"
"194584","Flight Angels",1940,74,NA,7,22,"","Drama"
"194585","Flight Command",1940,116,NA,5.9,67,"","Drama"
"194586","Flight From Glory",1937,67,NA,6.2,19,"","Drama"
"194587","Flight Lieutenant",1942,80,NA,5.5,12,"","Drama"
"194588","Flight Nurse",1954,90,NA,6,15,"","Drama"
"194590","Flight for Freedom",1943,102,NA,5.4,29,"","Drama"
"194591","Flight from Ashiya",1964,100,NA,4.9,61,"","Drama"
"194592","Flight from Destiny",1941,75,NA,6,12,"","Drama"
"194593","Flight of Dragons, The",1982,96,NA,7.6,580,"","Drama"
"194596","Flight of the Doves",1971,105,NA,6.5,51,"","Drama"
"194603","Flight of the Phoenix, The",1965,142,NA,7.6,2545,"","Drama"
"194605","Flight to Hong Kong",1956,88,NA,5.7,18,"","Drama"
"194606","Flight to Mars",1951,72,NA,4.7,79,"","Drama"
"194608","Flight to Tangier",1953,90,NA,5.1,43,"","Drama"
"194615","Flip Side, The",2001,80,NA,8.8,24,"","Drama"
"194617","Flipper",1963,87,NA,5.7,150,"","Drama"
"194619","Flipper's New Adventure",1964,94,NA,5.7,46,"","Drama"
"194623","Flirting",1991,110,NA,7.2,1437,"","Drama"
"194628","Floating",1999,90,NA,6.2,143,"","Drama"
"194629","Floating Away",1998,105,NA,6,92,"","Drama"
"194631","Floch",1972,90,NA,6.4,10,"","Drama"
"194632","Flock, The",2001,14,NA,6.9,73,"","Drama"
"194636","Flood Tide",1958,82,NA,5.7,20,"","Drama"
"194637","Floodhouse",2003,50,NA,6,10,"","Drama"
"194639","Floods of Fear",1959,84,NA,5.8,21,"","Drama"
"194641","Floortje",2002,7,NA,8,6,"","Drama"
"194645","Flor Contemplacion Story, The",1995,120,NA,6.5,24,"","Drama"
"194646","Flor de mayo",1959,114,NA,7.4,15,"","Drama"
"194647","Flor de mi secreto, La",1995,103,NA,7.1,1163,"R","Drama"
"194648","Flor silvestre",1943,94,NA,6.7,16,"","Drama"
"194650","Floradas na Serra",1954,100,NA,7.3,13,"","Drama"
"194655","Flores amarillas en la ventana",1996,95,NA,6.6,6,"","Drama"
"194656","Flores de otro mundo",1999,108,NA,7.3,177,"","Drama"
"194657","Flores del vicio, Las",1979,90,NA,5.4,14,"","Drama"
"194658","Florian",1940,91,NA,5.2,17,"","Drama"
"194660","Florido pensil, El",2002,80,NA,5.1,27,"","Drama"
"194661","Flossie",1974,88,NA,4.2,21,"","Drama"
"194665","Flow",1996,80,NA,6.4,7,"","Drama"
"194666","Flower & Garnet",2002,103,NA,7.2,198,"","Drama"
"194668","Flower Thief, The",1960,70,NA,4.6,13,"","Drama"
"194669","Flowergirl",1999,19,NA,6.6,14,"","Drama"
"194671","Flowers & Freckle Cream",2000,20,NA,6.9,18,"","Drama"
"194674","Flowers in the Attic",1987,93,NA,4.9,998,"","Drama"
"194675","Flowing Gold",1940,81,NA,6.7,58,"","Drama"
"194685","Fluke",1995,96,NA,6,709,"PG","Drama"
"194688","Flux",1996,14,NA,6.9,5,"","Drama"
"194692","Fly Away Baby",1937,60,NA,5.8,39,"","Drama"
"194693","Fly Away Home",1996,110,NA,6.9,3027,"PG","Drama"
"194694","Fly Away Peter",1948,60,NA,5.6,13,"","Drama"
"194697","Fly Me",1973,72,NA,3.8,7,"","Drama"
"194699","Fly by Night",1993,93,NA,3.4,51,"","Drama"
"194704","Fly, The",1986,92,15000000,7,9914,"","Drama"
"194705","Fly-By-Night",1942,74,NA,5.8,10,"","Drama"
"194710","Flying Blind",1941,69,NA,6.1,7,"","Drama"
"194712","Flying Changes",1999,75,NA,3.6,18,"","Drama"
"194715","Flying Devils",1933,62,NA,5.6,10,"","Drama"
"194720","Flying Fleet, The",1929,87,NA,6.9,43,"","Drama"
"194721","Flying Fortress",1942,68,NA,5.4,22,"","Drama"
"194724","Flying Irishman, The",1939,71,NA,4.1,20,"","Drama"
"194726","Flying Leathernecks",1951,102,NA,6.1,492,"","Drama"
"194727","Flying Missile, The",1950,91,NA,6.5,11,"","Drama"
"194730","Flying Over Mother",1996,9,NA,6.2,21,"","Drama"
"194738","Flying Tigers",1942,102,NA,6.5,449,"","Drama"
"194740","Flying Wild",1941,64,NA,6.1,53,"","Drama"
"194744","Focus",1996,73,NA,6.7,57,"","Drama"
"194752","Fog, The",1923,70,NA,8,15,"","Drama"
"194754","Fogbound",2002,97,NA,5.2,52,"","Drama"
"194761","Folkefiende, En",2005,90,NA,4.8,22,"","Drama"
"194762","Folks!",1992,107,NA,4.2,467,"","Drama"
"194764","Folle embellie",2004,110,NA,5.8,9,"","Drama"
"194765","Follow Me Home",1996,100,220000,7.6,52,"","Drama"
"194767","Follow Me Quietly",1949,60,NA,6.6,115,"","Drama"
"194769","Follow Me, Boys!",1966,131,NA,6.5,345,"","Drama"
"194775","Follow the Boys",1944,122,NA,6.6,35,"","Drama"
"194779","Follow the Sun",1951,93,NA,6,61,"","Drama"
"194780","Followers",2000,87,NA,8.2,24,"","Drama"
"194782","Following Paula",2000,41,NA,1.3,14,"","Drama"
"194785","Fome de Amor",1968,73,NA,5.5,10,"","Drama"
"194788","Fond Kiss..., Ae",2004,104,NA,7.3,740,"R","Drama"
"194790","Fondo del mar, El",2003,92,NA,6.9,106,"","Drama"
"194794","Fontamara",1977,139,NA,7.8,8,"","Drama"
"194802","Food of Love",2002,112,NA,6.4,262,"R","Drama"
"194806","Fool Killer, The",1965,99,NA,5.3,36,"","Drama"
"194807","Fool There Was, A",1915,67,NA,5.8,81,"","Drama"
"194808","Fool for Love",1985,106,NA,5.2,311,"","Drama"
"194810","Fool, The",1990,140,NA,6.7,22,"","Drama"
"194812","Foolish",1999,97,NA,3,133,"R","Drama"
"194813","Foolish Wives",1922,384,1100000,7.6,191,"","Drama"
"194815","Fools",1970,93,NA,3.9,21,"","Drama"
"194817","Fools Rush In",1997,109,NA,5.8,5225,"PG-13","Drama"
"194819","Fools of Fate",1909,11,NA,5.4,9,"","Drama"
"194820","Fools of Fortune",1990,104,NA,5.2,50,"","Drama"
"194821","Fools' Parade",1971,98,NA,6.1,121,"","Drama"
"194824","Football Factory, The",2004,91,NA,6.5,1164,"","Drama"
"194833","Footloose",1984,107,NA,5.9,5914,"","Drama"
"194839","Footsteps in the Fog",1955,90,NA,6.3,91,"","Drama"
"194840","Footsteps in the Night",1957,62,NA,5.1,9,"","Drama"
"194842","For Always",2004,76,NA,8.1,18,"","Drama"
"194845","For Better or Worse",1996,105,NA,5.1,153,"","Drama"
"194848","For Caroline",2002,18,60000,6.7,19,"","Drama"
"194850","For Ever Mozart",1996,84,NA,5.7,108,"","Drama"
"194851","For Freedom",1940,87,NA,4.6,9,"","Drama"
"194853","For Good",2003,96,NA,8.2,9,"","Drama"
"194857","For Keeps?",1988,90,NA,4.8,598,"","Drama"
"194860","For Love and Money",1967,75,NA,1.8,13,"","Drama"
"194862","For Love of the Game",1999,137,50000000,6.1,5782,"PG-13","Drama"
"194867","For Me and My Gal",1942,104,802000,6.9,326,"","Drama"
"194868","For Men Only",1952,93,NA,7.8,5,"","Drama"
"194869","For My Baby",1997,102,NA,3.3,18,"","Drama"
"194870","For Our Man",2003,25,NA,8.9,8,"","Drama"
"194871","For Pete's Sake",1968,90,NA,5.4,12,"","Drama"
"194873","For Queen and Country",1988,105,NA,6.4,195,"","Drama"
"194880","For Which It Stands",2003,8,NA,9,13,"","Drama"
"194881","For Whom the Bell Tolls",1943,168,3000000,7.2,1010,"","Drama"
"194885","For a Few Lousy Dollars",1996,88,NA,5.1,59,"R","Drama"
"194887","For dagene er onde",1991,74,NA,4.5,7,"","Drama"
"194890","For the Boys",1991,138,NA,5.8,987,"","Drama"
"194892","For the Common Defense!",1942,22,NA,5.4,14,"","Drama"
"194893","For the Defense",1930,65,NA,7,9,"","Drama"
"194896","For the Love of Benji",1977,85,NA,5.4,148,"","Drama"
"194900","For the Moment",1993,120,NA,6.4,247,"","Drama"
"194902","Forastero, El",2002,100,NA,4.5,7,"","Drama"
"194903","Forbidden",1932,83,NA,6,48,"","Drama"
"194904","Forbidden",1953,85,NA,5.7,25,"","Drama"
"194905","Forbidden",2002,84,NA,4.1,99,"","Drama"
"194906","Forbidden Cargo",1954,85,NA,5.2,19,"","Drama"
"194907","Forbidden City, The",1918,62,NA,8.1,6,"","Drama"
"194911","Forbidden Games",1995,89,NA,4.6,69,"R","Drama"
"194915","Forbidden Passage",1941,21,NA,5.6,10,"","Drama"
"194916","Forbidden Planet",1956,98,1900000,7.7,6736,"","Drama"
"194926","Forbrydelsens element",1984,104,NA,6.2,1189,"","Drama"
"194927","Forbrydelser",2004,101,NA,7.1,183,"","Drama"
"194932","Force majeure",1989,86,NA,6.6,97,"","Drama"
"194933","Force of Arms",1951,99,NA,6.1,54,"","Drama"
"194934","Force of Evil",1948,78,NA,7.5,571,"","Drama"
"194935","Force of One, A",1979,90,NA,4.5,253,"","Drama"
"194937","Force on Thunder Mountain, The",1977,93,NA,1.9,12,"","Drama"
"194941","Forced Entry",1975,88,NA,4.9,33,"","Drama"
"194942","Forced March",1989,104,2700000,4,16,"","Drama"
"194949","Foreign Affair, A",2003,94,NA,6.3,234,"PG-13","Drama"
"194953","Foreign Correspondents",1999,102,500000,7.6,117,"PG-13","Drama"
"194954","Foreign Field, A",1993,95,NA,8.1,106,"","Drama"
"194960","Foreigner, The",1978,77,NA,4.4,14,"","Drama"
"194963","Foreman Went to France, The",1942,87,NA,6.9,65,"","Drama"
"194969","Forever Amber",1947,138,6000000,6.5,149,"","Drama"
"194971","Forever Fabulous",2000,105,NA,4,14,"","Drama"
"194973","Forever Fever",1998,95,NA,6.6,244,"PG-13","Drama"
"194975","Forever Midnight",1999,105,NA,4.2,22,"","Drama"
"194976","Forever Mine",1999,113,NA,5.1,484,"R","Drama"
"194977","Forever My Love",1962,147,NA,6,20,"","Drama"
"194978","Forever Young",1983,84,NA,4.9,12,"","Drama"
"194981","Forever and a Day",1943,104,NA,7.7,106,"","Drama"
"194984","Forget Me Not",1936,73,NA,4.2,13,"","Drama"
"194986","Forgive Me Father",2001,138,NA,3.9,35,"R","Drama"
"194987","Forgiveness",2004,112,NA,6.8,94,"","Drama"
"194995","Forgotten Village, The",1941,67,NA,5.5,6,"","Drama"
"194998","Forgotten, The",2004,94,42000000,5.8,8234,"PG-13","Drama"
"195005","Formynderne",1978,103,NA,4.1,7,"","Drama"
"195006","Forrest Gump",1994,142,55000000,8.2,89722,"PG-13","Drama"
"195009","Forsaking All Others",1934,83,NA,5.9,123,"","Drama"
"195010","Fort Algiers",1953,78,NA,5.5,14,"","Drama"
"195012","Fort Apache the Bronx",1981,125,NA,6.3,950,"","Drama"
"195018","Fort Saganne",1984,175,NA,6.3,141,"","Drama"
"195030","Fortuna di essere donna, La",1956,100,NA,5.2,15,"","Drama"
"195032","Fortune Cookie",1999,106,NA,5.5,27,"","Drama"
"195033","Fortune Cookie, The",1966,125,3705000,7.4,1504,"","Drama"
"195034","Fortune Is a Woman",1957,95,NA,6.6,10,"","Drama"
"195035","Fortune and Men's Eyes",1971,102,NA,5.8,93,"","Drama"
"195041","Forty Deuce",1982,89,NA,4.8,40,"","Drama"
"195050","Forward Pass, The",1929,78,NA,3.4,10,"","Drama"
"195051","Forza del passato, La",2002,98,NA,5.9,34,"","Drama"
"195052","Fos pou svini, To",2000,95,NA,7.2,9,"","Drama"
"195056","Fotograf",2001,66,NA,5.4,8,"","Drama"
"195057","Fotografando Patrizia",1985,89,NA,5.4,11,"","Drama"
"195058","Fotos",1996,93,NA,4.3,50,"","Drama"
"195063","Fountain, The",1934,83,NA,5.6,13,"","Drama"
"195065","Fountainhead, The",1949,114,NA,6.9,1121,"","Drama"
"195067","Four Boys and a Gun",1957,74,NA,5.9,12,"","Drama"
"195069","Four Daughters",1938,90,NA,7.3,191,"","Drama"
"195070","Four Days",1999,92,NA,5.1,92,"R","Drama"
"195078","Four Feathers, The",2002,125,80000000,6.2,4400,"PG-13","Drama"
"195079","Four Friends",1981,114,NA,6.4,341,"","Drama"
"195081","Four Girls in Town",1957,85,NA,4.8,16,"","Drama"
"195082","Four Girls in White",1939,73,NA,5.1,12,"","Drama"
"195084","Four Horsemen of the Apocalypse",1962,153,NA,6.3,248,"","Drama"
"195085","Four Horsemen of the Apocalypse, The",1921,150,800000,7.6,163,"","Drama"
"195086","Four Hours to Kill!",1935,70,NA,5.2,13,"","Drama"
"195090","Four Just Men, The",1939,85,NA,5,15,"","Drama"
"195093","Four Mothers",1941,86,NA,6.1,24,"","Drama"
"195097","Four Poster, The",1952,103,NA,6,38,"","Drama"
"195099","Four Rooms",1995,98,4000000,6,10675,"R","Drama"
"195100","Four Seasons, The",1981,107,NA,6.5,635,"","Drama"
"195103","Four Sons",1928,100,NA,5.5,50,"","Drama"
"195104","Four Sons",1940,89,NA,5.5,11,"","Drama"
"195106","Four Weddings and a Funeral",1994,117,6000000,7.2,17820,"R","Drama"
"195107","Four Wives",1939,99,NA,5.9,59,"","Drama"
"195108","Four in the Morning",1965,94,NA,5.1,17,"","Drama"
"195110","Four-Eyed Monsters",2005,85,NA,6.9,18,"","Drama"
"195112","Fourbi",1996,114,NA,6.1,51,"","Drama"
"195114","Fourteen Hours",1951,92,NA,7.4,119,"","Drama"
"195115","Fourth Angel, The",2001,95,NA,5.4,597,"R","Drama"
"195118","Fourth War, The",1990,91,NA,5.2,228,"","Drama"
"195119","Fourth Wish, The",1976,107,NA,6.6,15,"","Drama"
"195121","Fous de Bassan, Les",1987,105,NA,5.3,17,"","Drama"
"195124","Fovou tous Ellines...",2000,90,NA,5.4,125,"","Drama"
"195132","Fox and the Hound, The",1981,83,NA,6.7,2709,"","Drama"
"195134","Fox, The",1967,110,NA,6.4,167,"","Drama"
"195136","Foxes",1980,106,NA,5.8,476,"","Drama"
"195138","Foxfire",1955,87,NA,5.6,54,"","Drama"
"195139","Foxfire",1996,102,NA,5.6,1558,"R","Drama"
"195140","Foxhole in Cairo",1961,80,NA,4.9,24,"","Drama"
"195142","Foxtrot",1976,91,NA,5.1,28,"","Drama"
"195144","Foxy Brown",1974,87,NA,6.1,763,"","Drama"
"195147","Foxy Lady, Wild Cherry",2000,21,NA,7.9,14,"","Drama"
"195151","Fracture",2004,107,NA,6.7,26,"","Drama"
"195152","Fracture du myocarde, La",1990,105,NA,7,103,"","Drama"
"195156","Fragment of Fear",1970,94,NA,5.3,31,"","Drama"
"195157","Fragmentos da vida",1929,40,NA,8.1,5,"","Drama"
"195160","Frailty",2001,100,11000000,7.4,10551,"R","Drama"
"195161","Frame Up",1991,90,NA,5.1,11,"","Drama"
"195164","Framed",1930,65,NA,5.7,12,"","Drama"
"195165","Framed",1947,82,NA,6.8,25,"","Drama"
"195166","Framed",1975,106,NA,5.4,47,"","Drama"
"195169","Frameup",1993,91,NA,7.8,27,"","Drama"
"195170","Fran",1985,98,NA,5.5,12,"","Drama"
"195172","Franc-tireur, Le",1972,72,NA,5.5,7,"","Drama"
"195175","Frances",1982,140,NA,7.2,1094,"","Drama"
"195177","Francesco",1989,133,NA,4.9,163,"","Drama"
"195179","Francesco, giullare di Dio",1950,83,NA,7.9,104,"","Drama"
"195181","Franchise Affair, The",1950,95,NA,6,12,"","Drama"
"195183","Francis",1950,91,150000,6.2,167,"","Drama"
"195190","Francis of Assisi",1961,101,NA,6.2,58,"","Drama"
"195191","Francisca",1981,166,NA,6.3,36,"","Drama"
"195192","Francisca",2002,88,NA,7.9,50,"","Drama"
"195194","Franco Bagongo",2002,85,NA,8.1,9,"","Drama"
"195214","Frankenstein",1931,71,291000,7.9,6045,"","Drama"
"195215","Frankenstein",1994,123,45000000,6,6941,"R","Drama"
"195220","Frankenstein Created Woman",1967,92,NA,5.8,271,"","Drama"
"195225","Frankenstein Must Be Destroyed",1969,101,NA,6.3,307,"PG-13","Drama"
"195227","Frankenstein Unbound",1990,82,NA,4.9,608,"","Drama"
"195234","Frankie Starlight",1995,100,NA,6.6,323,"R","Drama"
"195236","Frankie and Johnny",1991,118,NA,6.4,3946,"","Drama"
"195249","Fratelli e sorelle",1991,92,NA,4.7,19,"","Drama"
"195251","Fratello sole, sorella luna",1972,121,3000000,6.4,513,"","Drama"
"195253","Fraternity Row",1977,100,NA,6.1,68,"","Drama"
"195256","Fratii Jderi",1973,105,NA,9.2,16,"","Drama"
"195273","Frauenschicksale",1952,102,NA,7.8,5,"","Drama"
"195277","Freak Orlando",1981,126,NA,9.1,12,"","Drama"
"195280","Freak Weather",1998,87,NA,5.6,22,"","Drama"
"195283","Freaks",1932,64,310607,7.7,4134,"","Drama"
"195287","Freaky Friday",2003,97,26000000,6.9,8052,"PG","Drama"
"195290","Freckles",1960,85,NA,4.3,6,"","Drama"
"195291","Fred: The Movie",2000,90,NA,3.9,8,"","Drama"
"195302","Free Country the Movie",1996,74,NA,1.1,10,"","Drama"
"195306","Free Fall",1999,92,NA,4.7,123,"","Drama"
"195312","Free Soul, A",1931,91,NA,6.3,181,"","Drama"
"195314","Free Willy",1993,112,NA,5.2,3799,"","Drama"
"195315","Free Willy 2: The Adventure Home",1995,95,NA,4.3,1544,"PG","Drama"
"195316","Free Willy 3: The Rescue",1997,86,NA,4,641,"PG","Drama"
"195320","Free to Love",1925,60,NA,7.5,7,"","Drama"
"195321","Free, White and 21",1963,104,40000,1.9,13,"","Drama"
"195323","Freedom",1982,102,NA,5.8,13,"","Drama"
"195326","Freedom Radio",1941,95,NA,5.7,26,"","Drama"
"195327","Freedom Strike",1998,93,NA,3.3,106,"R","Drama"
"195333","Freestyle",1996,12,NA,7.2,5,"","Drama"
"195337","Freeway",1996,102,3000000,6.5,4961,"R","Drama"
"195338","Freeway II: Confessions of a Trickbaby",1999,90,2000000,4.6,666,"R","Drama"
"195340","Freeze Frame",2004,99,2000000,5.8,189,"R","Drama"
"195341","Freeze Me",2000,101,NA,6.2,319,"","Drama"
"195344","Freiheit",1966,3,NA,5.3,42,"","Drama"
"195346","Fremde Freundin",2000,83,NA,6.5,8,"","Drama"
"195347","Fremde, Die",2000,102,NA,6.3,13,"","Drama"
"195348","Fremder Freund",2003,105,NA,6.7,60,"","Drama"
"195349","Fremragende timer",2003,17,NA,6.1,22,"","Drama"
"195351","French Cancan",1955,93,NA,7.2,278,"","Drama"
"195352","French Connection II",1975,119,NA,6.5,1971,"","Drama"
"195353","French Connection, The",1971,104,1800000,7.8,11783,"","Drama"
"195355","French Dressing",1964,86,NA,6.3,25,"","Drama"
"195358","French Lieutenant's Woman, The",1981,127,NA,6.8,1787,"","Drama"
"195362","French Postcards",1979,95,NA,5.5,154,"","Drama"
"195363","French Quarter",1977,95,NA,4.2,17,"","Drama"
"195369","Frenchman's Farm",1987,86,NA,5.3,28,"","Drama"
"195372","Frequency",2000,118,31000000,7.4,15317,"PG-13","Drama"
"195373","Fresa y chocolate",1994,108,NA,7.3,1022,"R","Drama"
"195374","Fresh",1994,114,NA,7.4,2057,"","Drama"
"195375","Fresh Air",1999,92,NA,5.2,32,"","Drama"
"195380","Fresh Horses",1988,105,NA,4.6,359,"","Drama"
"195381","Fresh Kill",1994,80,NA,3,23,"","Drama"
"195385","Freud",1962,139,4000000,6.4,195,"","Drama"
"195387","Freudlose Gasse, Die",1925,109,NA,7.1,141,"","Drama"
"195389","Freunde",2000,100,NA,6.1,64,"","Drama"
"195390","Freunde",2001,21,NA,7,25,"","Drama"
"195393","Frida",2002,123,12000000,7.5,8614,"R","Drama"
"195396","Frida, naturaleza viva",1986,108,NA,6.8,87,"","Drama"
"195397","Friday",1995,91,3500000,6.7,7020,"R","Drama"
"195398","Friday",2000,19,NA,7.3,28,"","Drama"
"195400","Friday Foster",1975,90,NA,5.5,144,"","Drama"
"195401","Friday Night Date, A",2000,96,NA,2.3,283,"R","Drama"
"195403","Friday Night Lights",2004,117,30000000,7,4290,"PG-13","Drama"
"195409","Friday the 13th Part VII: The New Blood",1988,90,3500000,4.1,2625,"","Drama"
"195413","Friday the Thirteenth",1933,89,NA,6.1,36,"","Drama"
"195415","Fried Green Tomatoes",1991,130,NA,7.4,10777,"","Drama"
"195416","Frieda",1947,98,NA,7.3,16,"","Drama"
"195418","Friedrich Schiller - Der Triumph eines Genies",1940,102,NA,7.2,12,"","Drama"
"195419","Friend of Dorothy, A",1994,33,NA,7,99,"","Drama"
"195420","Friend of the Family",1995,103,NA,4.8,170,"R","Drama"
"195424","Friendly Enemies",1942,95,NA,5.4,8,"","Drama"
"195425","Friendly Persuasion",1956,137,3000000,7.5,1020,"","Drama"
"195429","Friends",1993,105,NA,4.5,43,"","Drama"
"195430","Friends & Lovers",1999,103,NA,3.9,397,"R","Drama"
"195433","Friends and Enemies",1992,103,NA,6.5,11,"","Drama"
"195435","Friends and Lovers",1931,68,NA,5.1,42,"","Drama"
"195437","Friends of Eddie Coyle, The",1973,102,NA,6.8,336,"","Drama"
"195438","Friends of Mr. Sweeney",1934,68,NA,4.9,24,"","Drama"
"195448","Frightened City, The",1961,97,NA,6.5,57,"","Drama"
"195457","Fringe Dwellers, The",1986,98,NA,6.2,86,"","Drama"
"195458","Frisco Jenny",1932,71,286000,6.6,36,"","Drama"
"195461","Frisk",1995,88,NA,6.2,163,"","Drama"
"195466","Fritz the Cat",1972,80,1000000,5.8,1109,"","Drama"
"195470","Frog Dreaming",1986,93,NA,5.8,169,"","Drama"
"195471","Frog Prince, The",1988,86,NA,6,65,"","Drama"
"195476","Frogmen, The",1951,96,NA,6.8,91,"","Drama"
"195477","Frogs",1972,91,NA,4,720,"","Drama"
"195493","From Hell to Heaven",1933,67,NA,6.5,6,"","Drama"
"195494","From Hell to Hell",2000,90,NA,6.4,18,"","Drama"
"195496","From Here to Eternity",1953,118,1650000,7.9,5995,"","Drama"
"195506","From Russia with Love",1963,115,2000000,7.3,10291,"","Drama"
"195507","From Sam",2004,1,NA,9.4,14,"","Drama"
"195510","From This Day Forward",1946,96,NA,6.5,43,"","Drama"
"195512","From a Far Country",1981,140,NA,6.6,38,"","Drama"
"195517","From the Four Corners",1941,15,NA,7.1,17,"","Drama"
"195520","From the Manger to the Cross",1912,71,NA,6.2,48,"","Drama"
"195521","From the Mixed-Up Files of Mrs. Basil E. Frankweiler",1973,105,NA,5.7,83,"","Drama"
"195522","From the Terrace",1960,149,NA,6,322,"","Drama"
"195523","Front Page Story",1954,99,NA,6.1,10,"","Drama"
"195524","Front Page Woman",1935,82,NA,6.7,164,"","Drama"
"195528","Front, The",1976,95,NA,7.3,1306,"","Drama"
"195529","Frontera",1978,95,NA,6.2,5,"","Drama"
"195531","Frontera Sur",1998,95,NA,7.2,33,"","Drama"
"195560","Fruit Machine, The",1988,103,NA,6.6,111,"","Drama"
"195562","Fruits de la passion, Les",1981,83,NA,5.9,74,"","Drama"
"195564","Frunk",2003,30,NA,7.1,12,"","Drama"
